iter	RMSE
0	827.0192878
1	810.1623753
2	795.8366101
3	780.6376373
4	767.27126
5	754.5489025
6	742.5873176
7	728.4680429
8	718.4311323
9	707.8182535
10	695.6404508
11	687.0850093
12	679.630208
13	672.9217587
14	663.044031
15	656.8624665
16	648.2966844
17	642.6604637
18	637.1361848
19	631.9594525
20	627.9890187
21	621.0314522
22	615.2068932
23	611.1623405
24	607.5057568
25	602.2809371
26	599.1649982
27	595.4724674
28	591.9322435
29	589.4986931
30	583.4809426
31	577.9436744
32	574.9467697
33	572.8174873
34	570.9646485
35	568.6115423
36	566.9105376
37	564.2247614
38	562.8678088
39	559.7395389
40	557.3086088
41	552.1960392
42	550.9984567
43	550.0657668
44	548.9850546
45	547.894656
46	545.570011
47	543.2217816
48	542.6611147
49	540.1679175
50	539.585583
51	537.8955617
52	536.5392336
53	535.7744454
54	533.3657124
55	532.8001422
56	529.5495702
57	528.8897624
58	528.5451573
59	525.9136839
60	523.8004898
61	523.2959948
62	522.7570057
63	521.9832357
64	520.2155866
65	519.6627082
66	519.0611622
67	517.6597087
68	517.3834575
69	517.1799016
70	514.7468626
71	514.5080167
72	513.4595507
73	512.0589015
74	510.9475038
75	509.744519
76	509.6099555
77	509.0956607
78	508.843251
79	506.953575
80	506.7008442
81	506.4403253
82	506.2666796
83	506.0385914
84	505.3536317
85	504.7469006
86	504.5253951
87	504.2859766
88	504.1922983
89	503.8488995
90	503.7628986
91	502.4356904
92	502.2498414
93	500.9972213
94	500.1533915
95	498.8893799
96	498.7420684
97	498.6643375
98	498.3557397
99	498.1749748
100	498.0249582
101	497.8274807
102	497.1986699
103	497.0488931
104	496.8577729
105	496.1473415
106	495.7763595
107	494.8200973
108	494.7051377
109	494.4303796
110	494.256121
111	493.100542
112	492.9187442
113	492.6082499
114	491.9207847
115	491.7546481
116	491.683933
117	491.0635917
118	490.5957791
119	490.5203257
120	490.4567741
121	490.3511353
122	489.3279806
123	488.5068721
124	488.2258124
125	488.1473075
126	488.1209362
127	487.9418688
128	487.8804779
129	487.7095922
130	487.4432809
131	487.410711
132	487.3607437
133	487.3287097
134	487.0520332
135	486.8321528
136	486.6725105
137	485.8139663
138	485.7020261
139	485.6758625
140	485.5264956
141	484.8846287
142	484.4135038
143	483.5693052
144	483.5088997
145	483.4300738
146	482.6088258
147	482.5357948
148	482.4830827
149	482.4070058
150	481.5985153
151	481.5647348
152	481.5313461
153	481.0886127
154	480.5797062
155	480.5562531
156	479.7387412
157	479.5922661
158	479.5515024
159	478.9588487
160	478.8519788
161	478.1253554
162	477.3948062
163	477.0601503
164	476.8527066
165	476.6724938
166	476.4600293
167	476.0246389
168	475.5247124
169	475.1328772
170	475.0408997
171	474.9732975
172	474.7303418
173	474.7120738
174	474.6953138
175	474.3021866
176	474.1347974
177	474.1143099
178	473.911994
179	473.7506084
180	473.3392716
181	472.9016804
182	472.7015313
183	472.673011
184	472.03577
185	471.7339131
186	471.5790269
187	471.4164678
188	471.2766609
189	470.9235072
