iter	Passed	Remaining
0	109	109853
1	111	55488
2	112	37501
3	114	28430
4	115	23021
5	117	19408
6	118	16815
7	120	14898
8	121	13387
9	123	12177
10	124	11176
11	125	10345
12	127	9649
13	128	9054
14	129	8536
15	131	8102
16	133	7709
17	134	7362
18	136	7050
19	137	6760
20	139	6503
21	140	6259
22	142	6043
23	143	5842
24	144	5654
25	146	5484
26	147	5323
27	148	5170
28	150	5036
29	151	4904
30	152	4781
31	154	4664
32	155	4561
33	157	4461
34	158	4368
35	159	4277
36	161	4192
37	162	4111
38	163	4033
39	164	3959
40	166	3891
41	167	3827
42	169	3763
43	170	3705
44	171	3647
45	173	3591
46	174	3541
47	175	3490
48	177	3439
49	178	3392
50	179	3348
51	181	3308
52	182	3269
53	184	3230
54	185	3193
55	187	3157
56	188	3121
57	189	3085
58	191	3051
59	192	3017
60	194	2987
61	195	2957
62	196	2928
63	198	2900
64	199	2872
65	200	2843
66	202	2818
67	203	2792
68	205	2767
69	206	2742
70	207	2718
71	209	2700
72	210	2678
73	212	2657
74	213	2635
75	214	2613
76	216	2592
77	217	2571
78	218	2551
79	220	2530
80	221	2511
81	222	2494
82	224	2477
83	225	2461
84	226	2443
85	228	2425
86	229	2409
87	230	2393
88	232	2377
89	233	2362
90	234	2346
91	236	2331
92	237	2317
93	238	2301
94	240	2288
95	241	2273
96	242	2260
97	244	2247
98	245	2233
99	246	2220
100	248	2208
101	249	2194
102	250	2183
103	251	2170
104	253	2159
105	254	2147
106	255	2135
107	257	2124
108	258	2114
109	259	2102
110	261	2091
111	262	2081
112	263	2070
113	265	2060
114	266	2049
115	267	2039
116	269	2030
117	270	2020
118	271	2011
119	273	2002
120	274	1995
121	275	1985
122	277	1976
123	278	1969
124	280	1960
125	281	1951
126	282	1943
127	283	1934
128	285	1927
129	286	1919
130	288	1911
131	289	1904
132	291	1897
133	292	1889
134	293	1881
135	295	1874
136	296	1867
137	297	1859
138	299	1853
139	300	1845
140	302	1840
141	303	1832
142	304	1825
143	305	1818
144	307	1811
145	308	1804
146	310	1798
147	311	1792
148	312	1785
149	313	1778
150	315	1772
151	316	1765
152	317	1759
